最佳: 0.9210865050554276 參數： {'n1': 75, 'n2': 13}
平均：0.9177134335041046 標準差：0.0026115391475864448 參數：{'n1': 13, 'n2': 13}
平均：0.9178465902805328 標準差：0.0010010374485057605 參數：{'n1': 13, 'n2': 26}
平均：0.9192223399877548 標準差：0.0013726840500539927 參數：{'n1': 13, 'n2': 50}
平均：0.918379157781601 標準差：0.0018154328706144422 參數：{'n1': 13, 'n2': 75}
平均：0.9194886833429337 標準差：0.001654056558170901 參數：{'n1': 26, 'n2': 13}
平均：0.9206870198249817 標準差：0.0013730226372086767 參數：{'n1': 26, 'n2': 26}
平均：0.9182458817958832 標準差：0.0017639773156759588 參數：{'n1': 26, 'n2': 50}
平均：0.9192668348550797 標準差：0.0009217567671045375 參數：{'n1': 26, 'n2': 75}
平均：0.9199768900871277 標準差：0.0014402572438143384 參數：{'n1': 50, 'n2': 13}
平均：0.9186898469924927 標準差：0.003760858290225407 參數：{'n1': 50, 'n2': 26}
平均：0.919444277882576 標準差：0.002456294092092349 參數：{'n1': 50, 'n2': 50}
平均：0.9196662455797195 標準差：0.002808004251689676 參數：{'n1': 50, 'n2': 75}
平均：0.9210865050554276 標準差：0.0025062523436257156 參數：{'n1': 75, 'n2': 13}
平均：0.9199769496917725 標準差：0.0005337588468250347 參數：{'n1': 75, 'n2': 26}
平均：0.919843778014183 標準差：0.002567634949235742 參數：{'n1': 75, 'n2': 50}
平均：0.9187341779470444 標準差：0.0018081348074080515 參數：{'n1': 75, 'n2': 75}
GS時間：4397.5475215911865
